,player,team,AGE,RANK,salary,college,height,position,weight,shoots
3252,Cameron Payne,PHX,25.0,357.0,1977011.0,Murray State University,6.3,Point Guard,190.0,Left
3255,Elfrid Payton,NYK,26.0,218.0,5760000.0,University of Louisiana at Lafayette,6.4,Point Guard,185.0,Right
3256,Elfrid Payton,NYK,26.0,449.0,5760000.0,University of Louisiana at Lafayette,6.4,Point Guard,185.0,Right
3330,Mason Plumlee,DEN,30.0,150.0,8000000.0,Duke University,6.11,Center,235.0,Right
3334,Jakob Poeltl,SAS,24.0,146.0,8101852.0,University of Utah,7.0,Center,230.0,Right
3352,Bobby Portis,NYK,25.0,254.0,3623000.0,University of Arkansas,6.11,Power Forward,250.0,Right
3361,Dwight Powell,DAL,28.0,118.0,10185185.0,Stanford University,6.11,Power Forward and Center,240.0,Right
3364,Norman Powell,TOR,27.0,112.0,10865952.0,"University of California, Los Angeles",6.4,Shooting Guard,215.0,Right
3423,Julius Randle,NYK,25.0,58.0,18900000.0,University of Kentucky,6.9,Power Forward and Center,250.0,Left
3491,Josh Richardson,PHI,26.0,114.0,10800000.0,University of Tennessee,6.6,Shooting Guard and Small Forward,200.0,Right
3517,Austin Rivers,HOU,27.0,272.0,3174603.0,Duke University,6.4,Point Guard and Shooting Guard,200.0,Right
3545,Duncan Robinson,MIA,26.0,396.0,1663861.0,"Williams College, University of Michigan",6.8,Power Forward,210.0,Right
3549,Glenn Robinson III,PHI,26.0,456.0,930930.0,University of Michigan,6.6,Shooting Guard and Small Forward,222.0,Right
3553,Jerome Robinson,WAS,23.0,248.0,3737520.0,Boston College,6.5,Shooting Guard,190.0,Right
3555,Mitchell Robinson,NYK,22.0,394.0,1663861.0,,7.1,Center,240.0,Right
3588,Rajon Rondo,LAL,34.0,159.0,7500000.0,University of Kentucky,6.1,Point Guard,186.0,Right
3591,Derrick Rose,DET,31.0,157.0,7682927.0,University of Memphis,6.3,Point Guard,200.0,Right
3600,Terrence Ross,ORL,29.0,88.0,13500000.0,University of Washington,6.7,Small Forward and Shooting Guard,206.0,Right
3617,Terry Rozier,CHA,26.0,57.0,18900000.0,University of Louisville,6.1,Point Guard,190.0,Right
3618,Ricky Rubio,PHX,29.0,66.0,17000000.0,,6.4,Point Guard,190.0,Right
3638,D'Angelo Russell,MIN,24.0,33.0,28649250.0,Ohio State University,6.5,Point Guard,198.0,Left
3645,Domantas Sabonis,IND,24.0,65.0,17187500.0,Gonzaga University,6.11,Center and Power Forward,240.0,Left
3656,JaKarr Sampson,IND,27.0,366.0,1882867.0,St. John's University,6.9,Small Forward,214.0,Right
3724,Mike Scott,PHI,31.0,205.0,5005350.0,University of Virginia,6.8,Power Forward,237.0,Right
3754,Collin Sexton,CLE,21.0,210.0,4991880.0,University of Alabama,6.2,Point Guard,190.0,Right
3762,Landry Shamet,LAC,23.0,341.0,2090040.0,Wichita State University,6.5,Shooting Guard,188.0,Right
3790,Iman Shumpert,BKN,30.0,485.0,447155.0,Georgia Institute of Technology,6.5,Shooting Guard and Point Guard,215.0,Right
3792,Pascal Siakam,TOR,26.0,30.0,29000000.0,New Mexico State University,6.9,Power Forward,230.0,Right
3807,Ben Simmons,PHI,23.0,28.0,29250000.0,Louisiana State University,6.1,Point Guard,230.0,Left
3818,Anfernee Simons,POR,21.0,329.0,2252040.0,,6.4,Shooting Guard,185.0,Right
3850,Marcus Smart,BOS,26.0,89.0,13446428.0,Oklahoma State University,6.4,Shooting Guard and Point Guard,220.0,Right
