,player,team,AGE,MIN,GP,PTS,REB,AST,PLUS_MINUS,TOV,FG_PCT,FG3M,FG3_PCT,FTM,FT_PCT,RANK,salary
242,Jaylen Nowell,MIN,20.0,10.1,15,3.8,0.9,1.3,0.7,0.2,0.358,0.2,0.115,1.1,0.941,428.0,1517981.0
243,Jayson Tatum,BOS,22.0,34.3,66,23.4,7.0,3.0,7.6,2.3,0.45,2.9,0.403,3.8,0.812,123.0,9897120.0
244,Jeff Green,HOU,33.0,20.0,48,9.4,2.8,1.0,-1.8,0.9,0.462,1.3,0.339,1.5,0.802,307.0,2564753.0
245,Jeff Teague,ATL,32.0,24.8,59,10.9,2.4,5.2,-2.9,2.0,0.436,0.7,0.368,2.9,0.873,301.0,3372826.0
246,Jeff Teague,ATL,32.0,24.8,59,10.9,2.4,5.2,-2.9,2.0,0.436,0.7,0.368,2.9,0.873,469.0,3372826.0
247,Jerami Grant,DEN,26.0,26.6,71,12.0,3.5,1.2,-1.2,0.9,0.478,1.4,0.389,2.1,0.75,55.0,19047619.0
249,Jeremy Lamb,IND,28.0,28.1,46,12.5,4.3,2.1,0.0,1.1,0.451,1.2,0.335,2.0,0.836,115.0,10500000.0
251,Jerian Grant,WAS,27.0,13.4,6,4.5,1.0,1.5,-0.5,0.5,0.37,0.3,0.25,0.8,0.714,367.0,1882867.0
252,Jerome Robinson,WAS,23.0,15.5,63,5.1,2.0,1.4,-0.5,0.8,0.371,0.8,0.32,0.6,0.702,248.0,3737520.0
253,Jevon Carter,PHX,24.0,16.3,58,4.9,2.0,1.4,-0.2,0.6,0.416,1.1,0.425,0.4,0.852,258.0,3549383.0
254,Jimmy Butler,MIA,30.0,33.8,58,19.9,6.7,6.0,4.4,2.2,0.455,0.5,0.244,7.6,0.834,11.0,34379100.0
255,Joakim Noah,LAC,35.0,10.0,5,2.8,3.2,1.4,-3.8,1.2,0.5,0.0,0.0,1.2,0.75,178.0,6431666.0
257,Joe Harris,BKN,28.0,30.8,69,14.5,4.3,2.1,1.2,1.5,0.486,2.5,0.424,0.9,0.719,72.0,16071429.0
258,Joe Ingles,UTA,32.0,29.7,72,9.8,3.9,5.2,3.3,2.0,0.445,2.0,0.399,1.0,0.787,113.0,10863637.0
259,Joel Embiid,PHI,26.0,29.5,51,23.0,11.6,3.0,3.2,3.1,0.477,1.1,0.331,6.9,0.807,22.0,29542010.0
260,John Collins,ATL,22.0,33.2,41,21.6,10.1,1.5,-4.0,1.8,0.583,1.4,0.401,2.9,0.8,232.0,4137302.0
262,John Konchar,MEM,24.0,9.5,19,2.8,2.5,1.2,1.9,0.4,0.649,0.3,0.5,0.1,0.5,340.0,2093023.0
267,Jonathan Isaac,ORL,22.0,28.8,34,11.9,6.8,1.4,0.5,1.4,0.47,0.9,0.34,1.8,0.779,161.0,7362566.0
270,Jordan Clarkson,UTA,28.0,24.0,71,15.2,2.6,1.9,-0.1,1.4,0.454,2.1,0.368,1.9,0.836,108.0,11500000.0
273,Jordan Poole,GSW,21.0,22.3,57,8.8,2.1,2.4,-3.5,1.3,0.333,1.3,0.279,1.7,0.798,343.0,2063280.0
274,Josh Gray,NOP,26.0,11.4,2,1.0,1.0,1.0,-3.5,2.5,0.5,0.0,0.0,0.0,0.0,404.0,1620564.0
275,Josh Hart,NOP,25.0,27.0,65,10.1,6.5,1.7,-1.8,1.2,0.423,1.9,0.342,1.3,0.739,264.0,3491159.0
276,Josh Jackson,MEM,23.0,17.3,22,9.0,3.0,1.6,1.1,1.3,0.44,1.0,0.319,1.6,0.7,215.0,4767000.0
278,Josh Okogie,MIN,21.0,25.0,62,8.6,4.3,1.6,-2.6,1.4,0.427,0.7,0.266,2.5,0.796,294.0,2651040.0
280,Josh Richardson,PHI,26.0,30.8,55,13.7,3.2,2.9,2.2,1.9,0.43,1.5,0.341,2.1,0.809,114.0,10800000.0
281,Jrue Holiday,NOP,30.0,34.7,61,19.1,4.8,6.7,0.6,3.0,0.455,2.0,0.353,2.1,0.709,43.0,26131111.0
284,Julius Randle,NYK,25.0,32.5,64,19.5,9.7,3.1,-3.8,3.0,0.46,1.0,0.277,4.0,0.733,58.0,18900000.0
286,Justin Holiday,IND,31.0,25.0,73,8.3,3.3,1.3,0.5,0.6,0.428,1.8,0.405,0.7,0.791,187.0,5720400.0
287,Justin Jackson,DAL,25.0,16.1,65,5.5,2.4,0.8,0.1,0.2,0.396,0.7,0.294,0.6,0.84,202.0,5029650.0
288,Justin James,SAC,23.0,6.5,36,2.5,0.9,0.5,-0.7,0.2,0.417,0.3,0.31,0.3,0.476,417.0,1517981.0
292,Justise Winslow,MEM,24.0,32.0,11,11.3,6.6,4.0,4.7,2.2,0.388,0.5,0.222,1.6,0.667,95.0,13000000.0
295,KZ Okpala,MIA,21.0,5.2,5,1.4,1.0,0.2,-3.0,0.2,0.6,0.0,0.0,0.2,0.5,407.0,1517981.0
297,Karl-Anthony Towns,MIN,24.0,33.9,35,26.5,10.8,4.4,-0.4,3.1,0.508,3.3,0.412,5.1,0.796,26.0,29430000.0
298,Kawhi Leonard,LAC,29.0,32.4,57,27.1,7.1,4.9,8.4,2.6,0.47,2.2,0.378,6.2,0.886,13.0,34379100.0
300,Kelan Martin,MIN,24.0,16.0,31,6.4,3.1,0.7,-0.7,0.6,0.392,0.8,0.26,1.0,0.968,441.0,1445697.0
301,Keldon Johnson,SAS,20.0,17.7,17,9.1,3.4,0.9,3.9,0.8,0.596,0.8,0.591,2.1,0.795,345.0,2048040.0
302,Kelly Olynyk,MIA,29.0,19.4,67,8.2,4.6,1.7,0.9,1.1,0.462,1.4,0.406,1.3,0.86,101.0,12198243.0
303,Kelly Oubre Jr.,PHX,24.0,34.5,56,18.7,6.4,1.5,-0.5,1.5,0.452,1.9,0.352,3.4,0.78,82.0,14375000.0
304,Kemba Walker,BOS,30.0,31.1,56,20.4,3.9,4.8,4.4,2.1,0.425,3.2,0.381,3.7,0.864,12.0,34379100.0
305,Kendrick Nunn,MIA,24.0,29.3,67,15.3,2.7,3.3,0.9,1.7,0.439,2.0,0.35,1.3,0.85,395.0,1663861.0
306,Kenrich Williams,NOP,25.0,21.3,39,3.5,4.8,1.5,-0.7,0.6,0.347,0.6,0.258,0.2,0.346,354.0,2000000.0
307,Kent Bazemore,SAC,30.0,24.8,68,8.8,4.3,1.4,0.1,1.3,0.375,1.2,0.344,1.7,0.769,322.0,2320044.0
308,Kentavious Caldwell-Pope,LAL,27.0,25.5,69,9.3,2.1,1.6,2.2,0.9,0.467,1.3,0.385,1.1,0.775,104.0,12073020.0
