Rk,Player,Tm,2020-21,2021-22,2022-23,2023-24,2024-25,2025-26,Signed Using,Guaranteed
197,Luke Kennard,LAC,5273826,"$12,727,273 ","$13,745,455 ","$14,763,636 ","$14,763,636 ",,1st Round Pick,"$46,510,190 "
198,Ryan Anderson,MIA,5214583,"$5,214,584 ",,,,,,"$10,429,167 "
199,Donovan Mitchell,UTA,5195501,"$28,103,550 ","$30,351,834 ","$32,600,118 ","$34,848,402 ","$37,096,686 ",1st Round Pick,"$131,099,405 "
200,Bam Adebayo,MIA,5115492,"$28,103,550 ","$30,351,834 ","$32,600,118 ","$34,848,402 ","$37,096,686 ",1st Round Pick,"$168,116,082 "
201,Jaxson Hayes,NOP,5105160,"$5,348,280 ","$6,803,012 ",,,,1st Round Pick,"$5,105,160 "
202,Justin Jackson,OKC,5029650,,,,,,,"$5,029,650 "
203,Richaun Holmes,SAC,5005350,,,,,,Room Exception,"$5,005,350 "
204,Enes Kanter,POR,5005350,,,,,,Room Exception,"$5,005,350 "
205,Mike Scott,PHI,5005350,,,,,,Room Exception,"$5,005,350 "
206,Ed Davis,MIN,5005350,,,,,,Room Exception,"$5,005,350 "
207,Rodney McGruder,DET,5000000,"$5,370,370 ",,,,,Cap Space,"$10,370,370 "
208,Nerlens Noel,NYK,5000000,,,,,,Cap Space,"$5,000,000 "
209,Daniel Theis,CHI,5000000,,,,,,,
210,Collin Sexton,CLE,4991880,"$6,349,671 ",,,,,1st Round Pick,"$11,341,551 "
211,Luol Deng,LAL,4990000,"$4,990,000 ",,,,,,"$9,980,000 "
212,Pat Connaughton,MIL,4938272,"$5,333,333 ","$5,728,395 ",,,,Early Bird,"$10,271,605 "
213,Obi Toppin,NYK,4862040,"$5,105,160 ","$5,348,280 ","$6,803,012 ",,,1st Round Pick,"$9,967,200 "
214,Kevon Looney,GSW,4821429,"$5,178,572 ",,,,,Bird Rights,"$4,821,429 "
215,Josh Jackson,DET,4767000,"$5,005,350 ",,,,,Room Exception,"$9,772,350 "
216,Garrett Temple,CHI,4767000,,,,,,MLE,"$4,767,000 "
217,Kris Dunn,ATL,4767000,"$5,005,350 ",,,,,Room Exception,"$4,767,000 "
218,Elfrid Payton,NYK,5760000,,,,,,Cap Space,"$5,760,000 "
219,Rui Hachimura,WAS,4692840,"$4,916,160 ","$6,263,188 ",,,,1st Round Pick,"$9,609,000 "
220,Denzel Valentine,CHI,4642800,,,,,,,"$4,642,800 "
221,Kevin Knox,NYK,4588680,"$5,845,978 ",,,,,1st Round Pick,"$10,434,658 "
222,D.J. Wilson,HOU,4548280,,,,,,1st Round Pick,"$4,548,280 "
223,Deni Avdija,WAS,4469160,"$4,692,840 ","$4,916,160 ","$6,263,188 ",,,1st Round Pick,"$9,162,000 "
224,Cam Reddish,ATL,4458000,"$4,670,160 ","$5,954,454 ",,,,1st Round Pick,"$9,128,160 "
225,Mikal Bridges,PHO,4359000,"$5,557,725 ",,,,,1st Round Pick,"$9,916,725 "
226,T.J. Leaf,OKC,4326825,,,,,,,"$4,326,825 "
